FunctionID_f,AvgServiceTimeMillisec,Invocations30Days
475,102556,1
476,750,96
477,1,3
478,22,7001
479,1016,2
480,237,2
481,3500,7
482,1465,2
483,182,12
484,14,2
485,459,4
486,328,1440
487,1231,1
488,115,53
489,17144,96
490,1071,96
491,1225,144
492,2663,1
493,9,288
494,1,288
495,19,1
496,746,287
497,570,24
498,170,675
499,1990,1
500,588,2863
501,383,69
502,1364,1
503,6048,3
504,1266,32163
505,685,21
506,2760,96
507,1353,288
508,108,20
509,2059,22
510,86,2880
511,1336,1
512,139,2868
513,83,38
514,1102,4
515,1292,217
516,1778,1
517,4760,1
518,401,1
519,41,71
520,1390,66
521,11,206
522,1,1
523,1219,1
524,16,2
525,37,2880
526,305,22
527,723,48
528,1366,720
529,15,1
530,1,288
531,44501,12
532,128,288
533,203,26
534,2199,2
535,32726,4
536,241,1440
537,235,1440
538,884,7
539,82,1
540,103,354
541,207,8
542,4835,2
543,1522,1
544,131,287
545,1214,1
546,1289,1915
547,177,15501
548,120,2
549,1121,44
550,489,48
551,163,1440
552,1471,54
553,44,286
554,1359,2
555,1554,18
556,1,1
557,140,1
558,2,4338
559,104,2
560,149,374
561,500,12
562,1141,1
563,17,1
564,261,4
565,39920,1
566,101,4
567,1,1
568,1006,3
569,135,288
570,153,1
571,10,225
572,107,246
573,10584,96
574,1506,4
575,1423,2
576,119,96
577,3601,96
578,11743,890
579,12032,1
580,5861,1
581,125,480
582,8992,1
583,5741,558
584,111,25
585,134,360
586,1252,1
587,154,1
588,24577,1
589,171,1
590,2413,96
591,16605,96
592,137,288
593,268,1350
594,1303,2152
595,2144,288
596,203,2
597,1135,297
598,716,7
599,140,1
600,141503,4
601,209,1440
602,337,24
603,147,1440
604,3730,4
605,13954,4
606,4344,1
607,1071,1
608,1,2615062
609,16187,3
610,1376,4867
611,9964,48
612,118,1445
613,103,720
614,10584,155
615,11975,144
616,86,24
617,118,144
618,515,1
619,20,998
620,2019,291
621,38,1
622,507,3
623,1,1
624,2500,1
625,1183,1
626,1701,3
627,1477,1
628,550,1
629,20,1
630,100075,38
631,1031,260
632,59,4326
633,12,9
634,381,98
635,35,288
636,23,2
637,405,1
638,26,154573
639,19,4
640,101066,1
641,484,1
642,11850,54
643,80,49
644,5,640
645,155,11
646,129075,1
647,45082,1
648,1082,41
649,19848,1
650,2463,1
651,2291,479
652,2,288
653,10618,27
654,1993,288
655,1187,288
656,104,1
657,622,6
658,1082,288
659,11,73824
660,16,17132
661,4080,9
662,10523,21
663,17,1
664,183,144
665,1695,1438
666,13172,1
667,12,23
668,177,144
669,10005,4
670,79836,480
671,1609,174
672,11095,17
673,1212,24
674,5426,1
675,174,288
676,15,7184
677,47,288
678,11,20957
679,181,72
680,12859,66
681,1158,42
682,1358,1125
683,1,1440
684,16997,5
685,25,665
686,184,144
687,198,1
688,2,96
689,2227,1
690,320,10
691,1734,1
692,141,40
693,303,17
694,1663,287
695,975,1
696,11,1
697,1260,1
698,15,26
699,15,1
700,1158,531
701,630,3
702,1410,3
703,15,1
704,106699,1
705,737,1440
706,10391,1
707,2849,16455
708,112,480
709,5,136
710,121,94
711,4343,1
712,13501,24
713,1081,1
714,13141,4
715,14,1440
716,467,1
717,30141,24
718,11029,305
719,1,1
720,15,1
721,16,48
722,324,1440
723,646,162
724,10,6
725,1,1440
726,10,7673
727,1170,1
728,122,2
729,24559,288
730,15,3
731,23,17
732,45,1
733,2678,24
734,11538,1
735,69,4
736,7764,1
737,2413,4
738,16223,288
739,1,1
740,119,67
741,269,720
742,247,210
743,140,6
744,31,7
745,1062,1
746,153,1
747,2712,5
748,1,720
749,83,288
750,19,2880
751,498,288
752,1947,1
753,175,1
754,115,70
755,1807,96
756,22630,1
757,1923,4
758,14453,1
759,354722,1
760,17552,3
761,4643,1
762,11,1
763,1479,1
764,1013,1
765,2763,1
